# Total Phase Data Center(tm) v5.00
# (c) 2005-2010 Total Phase, Inc.
# www.totalphase.com
#
# 
#
# Level,Index,m:s.ms.us,Dur,Len,Err,Record,Data
1,110,0:02.372.537,453.600 us,9 B,,   MOSI,01 4F 00 FF FF 03 00 00 00
1,111,0:02.372.537,453.600 us,9 B,,   MISO,FF F3 5A 00 00 00 00 00 5A
0,112,0:02.389.223,453.100 us,9 B,,Transaction,01FF 40F3 005A 0000 0200 0002 0000 0000 005A
1,113,0:02.389.223,453.100 us,9 B,,   MOSI,01 40 00 00 02 00 00 00 00
1,114,0:02.389.223,453.100 us,9 B,,   MISO,FF F3 5A 00 00 02 00 00 5A
0,115,0:02.405.903,454.000 us,9 B,,Transaction,01FF 40F3 005A 0100 0200 0002 0000 0000 005A
1,116,0:02.405.903,454.000 us,9 B,,   MOSI,01 40 00 01 02 00 00 00 00
1,117,0:02.405.903,454.000 us,9 B,,   MISO,FF F3 5A 00 00 02 00 00 5A
0,118,0:02.422.591,454.200 us,9 B,,Transaction,01FF 40F3 005A 0200 0200 0002 0000 0000 005A
1,119,0:02.422.591,454.200 us,9 B,,   MOSI,01 40 00 02 02 00 00 00 00
1,120,0:02.422.591,454.200 us,9 B,,   MISO,FF F3 5A 00 00 02 00 00 5A
0,121,0:02.439.274,453.800 us,9 B,,Transaction,01FF 40F3 005A 0300 0200 0002 0000 0000 005A
1,122,0:02.439.274,453.800 us,9 B,,   MOSI,01 40 00 03 02 00 00 00 00
1,123,0:02.439.274,453.800 us,9 B,,   MISO,FF F3 5A 00 00 02 00 00 5A
0,124,0:02.455.965,454.900 us,9 B,,Transaction,01FF 40F3 005A 0400 0200 0002 0000 0000 005A
1,125,0:02.455.965,454.900 us,9 B,,   MOSI,01 40 00 04 02 00 00 00 00
1,126,0:02.455.965,454.900 us,9 B,,   MISO,FF F3 5A 00 00 02 00 00 5A
0,127,0:02.472.650,455.000 us,9 B,,Transaction,01FF 40F3 005A 0500 0200 0002 0000 0000 005A
1,128,0:02.472.650,455.000 us,9 B,,   MOSI,01 40 00 05 02 00 00 00 00
1,129,0:02.472.650,455.000 us,9 B,,   MISO,FF F3 5A 00 00 02 00 00 5A
0,130,0:02.489.329,454.600 us,9 B,,Transaction,01FF 40F3 005A 0600 0200 0002 0000 0000 005A
1,131,0:02.489.329,454.600 us,9 B,,   MOSI,01 40 00 06 02 00 00 00 00
1,132,0:02.489.329,454.600 us,9 B,,   MISO,FF F3 5A 00 00 02 00 00 5A
0,133,0:02.506.016,454.900 us,9 B,,Transaction,01FF 40F3 005A 0700 0200 0002 0000 0000 005A
1,134,0:02.506.016,454.900 us,9 B,,   MOSI,01 40 00 07 02 00 00 00 00
1,135,0:02.506.016,454.900 us,9 B,,   MISO,FF F3 5A 00 00 02 00 00 5A
0,136,0:02.522.700,454.900 us,9 B,,Transaction,01FF 40F3 005A 0800 0200 0002 0000 0000 005A
1,137,0:02.522.700,454.900 us,9 B,,   MOSI,01 40 00 08 02 00 00 00 00
1,138,0:02.522.700,454.900 us,9 B,,   MISO,FF F3 5A 00 00 02 00 00 5A
0,139,0:02.539.392,454.700 us,9 B,,Transaction,01FF 40F3 005A 0900 0200 0002 0000 0000 005A
1,140,0:02.539.392,454.700 us,9 B,,   MOSI,01 40 00 09 02 00 00 00 00
1,141,0:02.539.392,454.700 us,9 B,,   MISO,FF F3 5A 00 00 02 00 00 5A
0,142,0:02.556.073,454.400 us,9 B,,Transaction,01FF 40F3 005A 0A00 0200 0002 0000 0000 005A
1,143,0:02.556.073,454.400 us,9 B,,   MOSI,01 40 00 0A 02 00 00 00 00
1,144,0:02.556.073,454.400 us,9 B,,   MISO,FF F3 5A 00 00 02 00 00 5A
0,145,0:02.572.757,453.300 us,9 B,,Transaction,01FF 40F3 005A 0B00 0200 0002 0000 0000 005A
1,146,0:02.572.757,453.300 us,9 B,,   MOSI,01 40 00 0B 02 00 00 00 00
1,147,0:02.572.757,453.300 us,9 B,,   MISO,FF F3 5A 00 00 02 00 00 5A
0,148,0:02.589.447,454.700 us,9 B,,Transaction,01FF 43F3 005A 0000 5A00 5A00 5A00 5A00 5A00
1,149,0:02.589.447,454.700 us,9 B,,   MOSI,01 43 00 00 5A 5A 5A 5A 5A
1,150,0:02.589.447,454.700 us,9 B,,   MISO,FF F3 5A 00 00 00 00 00 00
0,151,0:02.606.131,290.600 us,9 B,,Transaction,01FF 4279 005A 00FF 00FF 0080 0080 0080 0080
1,152,0:02.606.131,290.600 us,9 B,,   MOSI,01 42 00 00 00 00 00 00 00
1,153,0:02.606.131,290.600 us,9 B,,   MISO,FF 79 5A FF FF 80 80 80 80
0,154,0:02.622.808,256.300 us,5 B,,Transaction,01FF 4279 005A 00FF 00FF
1,155,0:02.622.808,256.300 us,5 B,,   MOSI,01 42 00 00 00
1,156,0:02.622.808,256.300 us,5 B,,   MISO,FF 79 5A FF FF
0,157,0:02.639.517,1.046.200 ms,21 B,,Transaction,01FF 4379 005A 01FF 00FF 0080 0080 0080 0080 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
1,158,0:02.639.517,1.046.200 ms,21 B,,   MOSI,01 43 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1,159,0:02.639.517,1.046.200 ms,21 B,,   MISO,FF 79 5A FF FF 80 80 80 80 00 00 00 00 00 00 00 00 00 00 00 00
0,160,0:02.656.185,454.500 us,9 B,,Transaction,01FF 45F3 005A 5A03 5A02 5A01 5A02 5A01 5A00
1,161,0:02.656.185,454.500 us,9 B,,   MOSI,01 45 00 5A 5A 5A 5A 5A 5A
1,162,0:02.656.185,454.500 us,9 B,,   MISO,FF F3 5A 03 02 01 02 01 00
0,163,0:02.672.874,454.000 us,9 B,,Transaction,01FF 46F3 005A 0000 5A00 5A01 5A02 5A00 5A0F
1,164,0:02.672.874,454.000 us,9 B,,   MOSI,01 46 00 00 5A 5A 5A 5A 5A
1,165,0:02.672.874,454.000 us,9 B,,   MISO,FF F3 5A 00 00 01 02 00 0F
0,166,0:02.689.556,454.700 us,9 B,,Transaction,01FF 46F3 005A 0100 5A00 5A01 5A01 5A01 5A0F
1,167,0:02.689.556,454.700 us,9 B,,   MOSI,01 46 00 01 5A 5A 5A 5A 5A
1,168,0:02.689.556,454.700 us,9 B,,   MISO,FF F3 5A 00 00 01 01 01 0F
0,169,0:02.706.238,454.700 us,9 B,,Transaction,01FF 47F3 005A 0000 5A00 5A02 5A00 5A01 5A00
1,170,0:02.706.238,454.700 us,9 B,,   MOSI,01 47 00 00 5A 5A 5A 5A 5A
1,171,0:02.706.238,454.700 us,9 B,,   MISO,FF F3 5A 00 00 02 00 01 00
0,172,0:02.722.925,455.000 us,9 B,,Transaction,01FF 4CF3 005A 0000 5A00 5A00 5A04 5A00 5A00
1,173,0:02.722.925,455.000 us,9 B,,   MOSI,01 4C 00 00 5A 5A 5A 5A 5A
1,174,0:02.722.925,455.000 us,9 B,,   MISO,FF F3 5A 00 00 00 04 00 00
0,175,0:02.739.607,453.600 us,9 B,,Transaction,01FF 4CF3 005A 0100 5A00 5A00 5A07 5A00 5A00
1,176,0:02.739.607,453.600 us,9 B,,   MOSI,01 4C 00 01 5A 5A 5A 5A 5A
1,177,0:02.739.607,453.600 us,9 B,,   MISO,FF F3 5A 00 00 00 07 00 00
0,178,0:02.756.296,453.400 us,9 B,,Transaction,01FF 4DF3 005A 0000 0101 FFFF FFFF FFFF FFFF
